name,rollno,mobile,sem,mentor,email,password
Zain ,22CO01,9000000001,4,Prof. Aquib,22CO01@aiktc.ac.in,1234567890
Aquib,22CO02,9000000002,5,Prof. Aquib,22CO02@aiktc.ac.in,1234567890
Farhan,22CO03,9000000003,4,Prof. Aquib,22CO03@aiktc.ac.in,1234567890
Nabil,22CO04,9000000004,5,Prof. Aquib,22CO04@aiktc.ac.in,1234567890
Fazil,22CO05,9000000005,4,Prof. Aquib,22CO05@aiktc.ac.in,1234567890
Adnan,22CO06,9000000006,5,Prof. Aquib,22CO06@aiktc.ac.in,1234567890
Kaif,22CO07,9000000007,4,Prof. Aquib,22CO07@aiktc.ac.in,1234567890
Asim,22CO08,9000000008,5,Prof. Aquib,22CO08@aiktc.ac.in,1234567890
Shahid,22CO09,9000000009,4,Prof. Aquib,22CO09@aiktc.ac.in,1234567890
Naiz,22CO10,9000000010,5,Prof. Aquib,22CO10@aiktc.ac.in,1234567890
Biuqa,22CO11,9000000011,4,Prof. Aquib,22CO11@aiktc.ac.in,1234567890
Nahraf,22CO12,9000000012,5,Prof. Aquib,22CO12@aiktc.ac.in,1234567890
Liban,22CO13,9000000013,4,Prof. Aquib,22CO13@aiktc.ac.in,1234567890
Lizaf,22CO14,9000000014,5,Prof. Aquib,22CO14@aiktc.ac.in,1234567890
Nanda,22CO15,9000000015,4,Prof. Aquib,22CO15@aiktc.ac.in,1234567890
Fiak,22CO16,9000000016,5,Prof. Aquib,22CO16@aiktc.ac.in,1234567890
Misa,22CO17,9000000017,4,Prof. Aquib,22CO17@aiktc.ac.in,1234567890
Dihahs,22CO18,9000000018,5,Prof. Aquib,22CO18@aiktc.ac.in,1234567890
Student,22CO19,9000000019,4,Prof. Aquib,22CO19@aiktc.ac.in,1234567890
